Year,New South Whales,Victoria,Queensland,Western Australia,South Australia,Tasmania,Australian Capital Territory,Northern Territory,Total Murders in Australia ,Population,Murder Rate
2010,77,60,57,23,21,6,3,13,260,22031750,1.180115061
2011,77,43,49,32,20,5,0,11,237,22340024,1.06087621
2012,72,54,49,33,18,5,4,13,248,22733465,1.090902773
2013,70,47,47,40,20,7,2,17,250,23128129,1.080934822
2014,81,52,37,27,14,8,1,16,236,23475686,1.005295436
2015,68,45,43,32,17,6,5,10,226,23815995,0.948942087
2016,54,64,46,32,18,6,3,6,229,24190907,0.946636685
2017,69,51,33,39,20,12,1,7,232,24592588,0.94337367
2018,62,51,33,28,14,2,1,6,197,24963258,0.789159812
2019,81,47,40,32,17,4,2,5,228,25334826,0.899946974
2020,85,67,50,31,14,5,2,8,262,25649248,1.021472442
2021,62,56,42,29,11,6,6,7,219,25685412,0.85262405
2022,72,51,42,24,9,8,7,7,220,26014399,0.845685499
2023,63,51,49,39,12,5,3,11,233,26658948,0.87400298
2024,77,62,47,49,18,7,4,6,270,26699482,1.011255574
