Year,number of homicides,uk_population,uk_murder_rate
2010,571,62766365,0.909722907
2011,597,63258810,0.943742065
2012,496,63700215,0.778647293
2013,508,64128273,0.792162296
2014,506,64602298,0.783253871
2015,488,65116219,0.749429263
2016,526,65611593,0.801687592
2017,566,66058859,0.85681165
2018,639,66460344,0.961475613
2019,631,66836327,0.944097362
2020,618,67081234,0.921271067
2021,543,67026292,0.810129852
2022,650,67791000,0.958829343
2023,561,68350000,0.820775421
2024,549,67961439,0.807811029
