state,year,population,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,violent_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,total_crime,total_crime_rate,rape_definition
ALABAMA,2010,4779736,18056,273,1349,4761,11673,168092,42034,115458,10600,377.761,5.712,28.223,99.608,244.219,3516.763,879.421,2415.573,221.77,186148,3894.525,legacy
ALASKA,2010,710231,4537,31,533,594,3379,20259,3105,15535,1619,638.806,4.365,75.046,83.635,475.761,2852.452,437.182,2187.317,227.954,24796,3491.258,legacy
ARIZONA,2010,6392017,26085,409,2165,6937,16574,225893,50771,153614,21508,408.087,6.399,33.87,108.526,259.292,3533.986,794.288,2403.216,336.482,251978,3942.073,legacy
ARKANSAS,2010,2915918,14735,138,1312,2372,10913,103775,32511,65720,5544,505.33,4.733,44.994,81.347,374.256,3558.914,1114.949,2253.836,190.129,118510,4064.243,legacy
CALIFORNIA,2010,37253956,164133,1809,8331,58116,95877,981939,228857,600558,152524,440.579,4.856,22.363,156,257.361,2635.798,614.316,1612.065,409.417,1146072,3076.377,legacy
COLORADO,2010,5029196,16133,120,2198,3132,10683,134992,26153,97592,11247,320.787,2.386,43.705,62.276,212.42,2684.167,520.023,1940.509,223.634,151125,3004.953,legacy
CONNECTICUT,2010,3574097,10057,130,583,3553,5791,78386,15172,56507,6707,281.386,3.637,16.312,99.41,162.027,2193.169,424.499,1581.015,187.656,88443,2474.555,legacy
DELAWARE,2010,897934,5575,48,312,1829,3386,30963,7515,21519,1929,620.87,5.346,34.746,203.69,377.088,3448.249,836.921,2396.501,214.826,36538,4069.119,legacy
FLORIDA,2010,18801310,101969,987,5373,26086,69523,669035,169119,458454,41462,542.351,5.25,28.578,138.746,369.777,3558.449,899.506,2438.415,220.527,771004,4100.799,legacy
GEORGIA,2010,9687653,39072,558,2093,12373,24048,352679,96723,225651,30305,403.318,5.76,21.605,127.719,248.233,3640.5,998.415,2329.264,312.821,391751,4043.817,legacy
HAWAII,2010,1360301,3574,24,365,1054,2131,45083,8663,31320,5100,262.736,1.764,26.832,77.483,156.657,3314.193,636.844,2302.432,374.917,48657,3576.929,legacy
IDAHO,2010,1567582,3465,21,525,214,2705,31286,6502,23462,1322,221.041,1.34,33.491,13.652,172.559,1995.813,414.779,1496.7,84.334,34751,2216.854,legacy
ILLINOIS,2010,12830632,55835,706,3033,20054,32042,343989,75399,239794,28796,435.17,5.502,23.639,156.298,249.73,2680.998,587.648,1868.918,224.432,399824,3116.168,legacy
INDIANA,2010,6483802,20389,292,1761,6219,12117,197260,47115,137027,13118,314.461,4.504,27.16,95.916,186.881,3042.351,726.657,2113.374,202.32,217649,3356.811,legacy
IOWA,2010,3046355,8333,39,836,1011,6447,68315,16656,47883,3776,273.54,1.28,27.443,33.187,211.63,2242.516,546.752,1571.813,123.951,76648,2516.056,legacy
KANSAS,2010,2853118,10531,100,1107,1544,7780,89015,19404,63602,6009,369.105,3.505,38.8,54.116,272.684,3119.92,680.098,2229.21,210.612,99546,3489.025,legacy
KENTUCKY,2010,4339367,10528,187,1381,3748,5212,110709,30311,74189,6209,242.616,4.309,31.825,86.372,120.11,2551.271,698.512,1709.673,143.085,121237,2793.887,legacy
LOUISIANA,2010,4533372,24886,510,1233,5211,17932,165357,45435,110029,9893,548.951,11.25,27.198,114.948,395.555,3647.55,1002.234,2427.09,218.226,190243,4196.501,legacy
MAINE,2010,1328361,1621,24,389,414,794,32934,7359,24585,990,122.03,1.807,29.284,31.166,59.773,2479.296,553.991,1850.777,74.528,34555,2601.326,legacy
MARYLAND,2010,5773552,31620,430,1227,11054,18909,173051,36542,118458,18051,547.67,7.448,21.252,191.459,327.511,2997.306,632.921,2051.735,312.65,204671,3544.975,legacy
MASSACHUSETTS,2010,6547629,30553,210,1745,6874,21724,153905,37767,104685,11453,466.627,3.207,26.651,104.985,331.784,2350.546,576.804,1598.823,174.918,184458,2817.172,legacy
MICHIGAN,2010,9883640,48460,567,4673,11493,31727,268201,73868,166980,27353,490.305,5.737,47.28,116.283,321.005,2713.585,747.376,1689.459,276.75,316661,3203.89,legacy
MINNESOTA,2010,5303925,12515,96,1798,3388,7233,136431,24415,103429,8587,235.957,1.81,33.899,63.877,136.371,2572.265,460.319,1950.046,161.899,148946,2808.222,legacy
MISSISSIPPI,2010,2967297,8003,208,927,2779,4089,88574,30444,52770,5360,269.707,7.01,31.241,93.654,137.802,2985.006,1025.984,1778.386,180.636,96577,3254.713,legacy
MISSOURI,2010,5988927,27252,420,1432,6132,19268,200414,44043,140320,16051,455.04,7.013,23.911,102.389,321.727,3346.409,735.407,2342.991,268.011,227666,3801.449,legacy
MONTANA,2010,989415,2693,26,321,157,2189,25169,3654,19989,1526,272.181,2.628,32.443,15.868,221.242,2543.826,369.309,2020.285,154.233,27862,2816.007,legacy
NEBRASKA,2010,1826341,5104,54,672,1025,3353,48821,8326,36881,3614,279.466,2.957,36.795,56.123,183.591,2673.159,455.884,2019.393,197.882,53925,2952.625,legacy
NEVADA,2010,2700551,17841,158,965,5298,11420,74932,22226,42521,10185,660.643,5.851,35.733,196.182,422.877,2774.693,823.017,1574.531,377.145,92773,3435.336,legacy
NEW HAMPSHIRE,2010,1316470,2198,13,412,451,1322,28782,5441,22373,968,166.962,0.987,31.296,34.258,100.42,2186.301,413.302,1699.469,73.53,30980,2353.263,legacy
NEW JERSEY,2010,8791894,27055,371,981,11818,13885,183042,38732,128754,15556,307.727,4.22,11.158,134.419,157.93,2081.94,440.542,1464.463,176.936,210097,2389.667,legacy
NEW MEXICO,2010,2059179,12126,142,958,1614,9412,70742,21014,44481,5247,588.875,6.896,46.523,78.381,457.075,3435.447,1020.504,2160.133,254.81,82868,4024.322,legacy
NEW YORK,2010,19378102,75977,866,2771,28473,43867,376161,64973,290755,20433,392.077,4.469,14.3,146.934,226.374,1941.165,335.291,1500.431,105.444,452138,2333.242,legacy
NORTH CAROLINA,2010,9535483,34653,476,2013,9610,22554,328719,102690,207719,18310,363.411,4.992,21.111,100.781,236.527,3447.324,1076.925,2178.379,192.02,363372,3810.735,legacy
NORTH DAKOTA,2010,672591,1513,10,237,90,1176,11895,1966,9070,859,224.951,1.487,35.237,13.381,174.846,1768.534,292.302,1348.516,127.715,13408,1993.485,legacy
OHIO,2010,11536504,36366,476,3699,16479,15712,374381,106521,246742,21118,315.225,4.126,32.063,142.842,136.194,3245.186,923.339,2138.794,183.054,410747,3560.411,legacy
OKLAHOMA,2010,3751351,17987,195,1450,3337,13005,128126,37476,80460,10190,479.481,5.198,38.653,88.955,346.675,3415.463,999,2144.827,271.635,146113,3894.943,legacy
OREGON,2010,3831074,9655,91,1214,2390,5960,115428,19637,86879,8912,252.018,2.375,31.688,62.385,155.57,3012.941,512.572,2267.745,232.624,125083,3264.959,legacy
PENNSYLVANIA,2010,12702379,46514,657,3415,16362,26080,276023,55171,204183,16669,366.183,5.172,26.885,128.811,205.316,2173.002,434.336,1607.439,131.227,322537,2539.186,legacy
RHODE ISLAND,2010,1052567,2701,29,296,780,1596,26910,6121,18390,2399,256.611,2.755,28.122,74.105,151.629,2556.607,581.531,1747.157,227.919,29611,2813.218,legacy
SOUTH CAROLINA,2010,4625364,27648,280,1466,4982,20920,180407,46156,121054,13197,597.748,6.054,31.695,107.71,452.289,3900.385,997.889,2617.178,285.318,208055,4498.132,legacy
SOUTH DAKOTA,2010,814180,2186,23,390,154,1619,15082,3181,11106,795,268.491,2.825,47.901,18.915,198.85,1852.416,390.7,1364.072,97.644,17268,2120.907,legacy
TENNESSEE,2010,6346105,38921,357,2138,8366,28060,232132,64235,153062,14835,613.305,5.625,33.69,131.829,442.161,3657.866,1012.196,2411.905,233.765,271053,4271.171,legacy
TEXAS,2010,25145561,113231,1249,7622,32843,71517,951246,228597,654626,68023,450.302,4.967,30.312,130.612,284.412,3782.958,909.095,2603.346,270.517,1064477,4233.26,legacy
UTAH,2010,2763885,5879,53,948,1268,3610,87880,15017,66914,5949,212.708,1.918,34.3,45.877,130.613,3179.582,543.329,2421.012,215.241,93759,3392.29,legacy
VERMONT,2010,625741,815,7,132,74,602,14281,3366,10474,441,130.246,1.119,21.095,11.826,96.206,2282.254,537.922,1673.855,70.476,15096,2412.5,legacy
VIRGINIA,2010,8001024,17087,369,1532,5657,9529,186196,30629,145019,10548,213.56,4.612,19.148,70.703,119.097,2327.152,382.813,1812.505,131.833,203283,2540.712,legacy
WASHINGTON,2010,6724540,21101,152,2562,5929,12458,249253,55164,168360,25729,313.791,2.26,38.099,88.17,185.262,3706.618,820.339,2503.666,382.614,270354,4020.409,legacy
WEST VIRGINIA,2010,1852994,5830,62,354,828,4586,41500,10756,28383,2361,314.626,3.346,19.104,44.684,247.491,2239.619,580.466,1531.737,127.415,47330,2554.245,legacy
WISCONSIN,2010,5686986,14142,155,1187,4504,8296,142612,26566,107908,8138,248.673,2.726,20.872,79.198,145.877,2507.69,467.137,1897.455,143.099,156754,2756.363,legacy
WYOMING,2010,563626,1104,8,164,76,856,13874,2149,11134,591,195.875,1.419,29.097,13.484,151.874,2461.561,381.281,1975.423,104.857,14978,2657.436,legacy
ALABAMA,2011,4802740,20174,301,1371,4910,13592,173190,51117,111411,10662,420.052,6.267,28.546,102.233,283.005,3606.067,1064.33,2319.738,221.998,193364,4026.118,legacy
ALASKA,2011,722718,4383,29,420,576,3358,19028,2826,14859,1343,606.461,4.013,58.114,79.699,464.635,2632.839,391.024,2055.989,185.826,23411,3239.299,legacy
ARIZONA,2011,6482505,26311,405,2264,7127,16515,230422,54929,155664,19829,405.877,6.248,34.925,109.942,254.763,3554.521,847.342,2401.294,305.885,256733,3960.398,legacy
ARKANSAS,2011,2937979,14129,162,1213,2428,10326,110295,34471,70012,5812,480.909,5.514,41.287,82.642,351.466,3754.111,1173.29,2382.999,197.823,124424,4235.02,legacy
CALIFORNIA,2011,37691912,154944,1792,7663,54292,91197,973901,230090,596963,146848,411.08,4.754,20.331,144.042,241.954,2583.846,610.449,1583.796,389.601,1128845,2994.926,legacy
COLORADO,2011,5116796,16383,149,2278,3306,10650,133361,25768,96546,11047,320.181,2.912,44.52,64.611,208.138,2606.338,503.596,1886.845,215.897,149744,2926.519,legacy
CONNECTICUT,2011,3580709,9767,128,686,3677,5276,77609,15679,55218,6712,272.767,3.575,19.158,102.689,147.345,2167.42,437.874,1542.097,187.449,87376,2440.187,legacy
DELAWARE,2011,907135,5075,41,289,1538,3207,30939,7531,21878,1530,559.454,4.52,31.859,169.545,353.531,3410.628,830.196,2411.769,168.663,36014,3970.082,legacy
FLORIDA,2011,19057542,98199,984,5274,25622,66319,671200,170171,461408,39621,515.276,5.163,27.674,134.445,347.993,3521.965,892.933,2421.131,207.902,769399,4037.242,legacy
GEORGIA,2011,9815210,36634,554,2053,12148,21879,355952,95657,230820,29475,373.237,5.644,20.917,123.767,222.909,3626.535,974.579,2351.656,300.299,392586,3999.772,legacy
HAWAII,2011,1374810,3949,17,434,1042,2456,45889,10008,31697,4184,287.24,1.237,31.568,75.792,178.643,3337.843,727.955,2305.555,304.333,49838,3625.083,legacy
IDAHO,2011,1584985,3184,36,435,184,2529,32787,6920,24534,1333,200.885,2.271,27.445,11.609,159.56,2068.6,436.597,1547.901,84.102,35971,2269.485,legacy
ILLINOIS,2011,12869257,55247,721,3708,20254,30564,346025,77746,239510,28769,429.294,5.602,28.813,157.383,237.496,2688.772,604.122,1861.102,223.548,401272,3118.067,legacy
INDIANA,2011,6516922,21626,312,1757,6978,12579,206055,50551,140688,14816,331.844,4.788,26.961,107.075,193.021,3161.845,775.688,2158.811,227.347,227681,3493.689,legacy
IOWA,2011,3062309,7826,46,834,825,6121,71361,17400,50025,3936,255.559,1.502,27.234,26.94,199.882,2330.3,568.199,1633.571,128.53,79187,2585.859,legacy
KANSAS,2011,2871238,10162,110,1085,1459,7508,88438,18789,62972,6677,353.924,3.831,37.789,50.814,261.49,3080.135,654.387,2193.2,232.548,98600,3434.059,legacy
KENTUCKY,2011,4369356,10406,153,1463,3693,5097,118358,32553,79132,6673,238.159,3.502,33.483,84.52,116.653,2708.82,745.03,1811.068,152.723,128764,2946.979,legacy
LOUISIANA,2011,4574836,25406,513,1268,5239,18386,168744,46320,113301,9123,555.342,11.214,27.717,114.518,401.894,3688.526,1012.495,2476.613,199.417,194150,4243.868,legacy
MAINE,2011,1328188,1636,26,393,369,848,33809,7854,24877,1078,123.175,1.958,29.589,27.782,63.846,2545.498,591.332,1873.003,81.163,35445,2668.673,legacy
MARYLAND,2011,5828289,28797,398,1194,10343,16862,166699,35784,114847,16068,494.09,6.829,20.486,177.462,289.313,2860.17,613.971,1970.51,275.69,195496,3354.261,legacy
MASSACHUSETTS,2011,6587536,28219,185,1628,6768,19638,148790,36533,101471,10786,428.37,2.808,24.713,102.739,298.108,2258.659,554.578,1540.348,163.733,177009,2687.029,legacy
MICHIGAN,2011,9876187,43983,613,4347,10393,28630,257979,71596,160887,25496,445.344,6.207,44.015,105.233,289.889,2612.132,724.936,1629.04,258.156,301962,3057.476,legacy
MINNESOTA,2011,5344861,11825,74,1664,3386,6701,136264,25724,102358,8182,221.241,1.385,31.133,63.351,125.373,2549.44,481.285,1915.073,153.082,148089,2770.68,legacy
MISSISSIPPI,2011,2978512,8036,239,865,2492,4440,90115,30907,54283,4925,269.799,8.024,29.041,83.666,149.068,3025.504,1037.666,1822.487,165.351,98151,3295.303,legacy
MISSOURI,2011,6010688,26889,366,1458,6269,18796,198882,44822,138743,15317,447.353,6.089,24.257,104.298,312.71,3308.806,745.705,2308.272,254.829,225771,3756.159,legacy
MONTANA,2011,998199,2670,28,357,169,2116,23155,3390,18307,1458,267.482,2.805,35.764,16.93,211.982,2319.678,339.612,1834.003,146.063,25825,2587.159,legacy
